,id_registro,arco,longitud,latitud,carga
1035,1036,101-2424,-75.5820367767791,6.2996222871434435,2582.0
1036,1037,101-2424,-75.57911119904819,6.300579585303061,2582.0
1037,1038,101-2424,-75.57984259348092,6.300340260763158,2582.0
1038,1039,101-2424,-75.58057398791364,6.300100936223253,2582.0
1039,1040,101-2424,-75.58130538234636,6.2998616116833475,2582.0
1040,1041,101-2426,-75.57978560966184,6.298895245403543,2434.0
1041,1042,101-2426,-75.57911119904819,6.300579585303061,2434.0
1042,1043,101-2426,-75.57927980170159,6.300158500328182,2434.0
1043,1044,101-2426,-75.579448404355,6.299737415353303,2434.0
1044,1045,101-2426,-75.57961700700842,6.299316330378423,2434.0
1050,1051,101-2423,-75.57730452260344,6.301875132270652,231.0
1051,1052,101-2423,-75.57911119904819,6.300579585303061,231.0
1052,1053,101-2423,-75.578659529937,6.3009034720449595,231.0
1053,1054,101-2423,-75.57820786082581,6.301227358786857,231.0
1054,1055,101-2423,-75.57775619171463,6.3015512455287555,231.0
1090,1091,103-2437,-75.58431727641128,6.2913855206299605,106.0
1091,1092,103-2437,-75.58247926557627,6.288825390985485,106.0
1092,1093,103-2437,-75.58293876828502,6.289465423396604,106.0
1093,1094,103-2437,-75.58339827099377,6.290105455807723,106.0
1094,1095,103-2437,-75.58385777370253,6.290745488218841,106.0
1155,1156,108-2449,-75.57856339459978,6.303890943331237,327.0
1156,1157,108-2449,-75.57816018528837,6.3071569118033555,327.0
1157,1158,108-2449,-75.57826098761622,6.306340419685325,327.0
1158,1159,108-2449,-75.57836178994407,6.305523927567295,327.0
1159,1160,108-2449,-75.57846259227193,6.3047074354492665,327.0
1160,1161,108-2451,-75.57984006656156,6.305644403405845,11452.0
1161,1162,108-2451,-75.57816018528837,6.3071569118033555,11452.0
1162,1163,108-2451,-75.57858015560666,6.306778784703977,11452.0
1163,1164,108-2451,-75.57900012592495,6.3064006576046,11452.0
1164,1165,108-2451,-75.57942009624327,6.306022530505222,11452.0
1165,1166,108-2447,-75.5772220497515,6.309048516643896,1643.0
1166,1167,108-2447,-75.57816018528837,6.3071569118033555,1643.0
1167,1168,108-2447,-75.57792565140414,6.307629813013491,1643.0
1168,1169,108-2447,-75.57769111751995,6.308102714223626,1643.0
1169,1170,108-2447,-75.57745658363572,6.308575615433762,1643.0
1175,1176,109-2451,-75.57984006656156,6.305644403405845,3103.0
1176,1177,109-2451,-75.58076348769734,6.306792187224372,3103.0
