ruta,longitud,latitud
1003,-75.56462026,6.345893993
1003,-75.5645027,6.345833721
1003,-75.56475667,6.344945406
1003,-75.56483454,6.344939159
1003,-75.56493161,6.344984263
1003,-75.56507968,6.345059049
1003,-75.56525964,6.345153462
1003,-75.56554639,6.34529819
1003,-75.56610278,6.345594537
1003,-75.56631725,6.345729192
1003,-75.56647487,6.34588646
1003,-75.5665324,6.346085563
1003,-75.5666949,6.346665295
1003,-75.56702061,6.346826196
1003,-75.56708133,6.34756502
1003,-75.56711905,6.348231497
1003,-75.56720171,6.349532069
1003,-75.56723341,6.349580742
1003,-75.5678753,6.349559186
1003,-75.5679091,6.349900486
1003,-75.56800658,6.350188767
1003,-75.56834105,6.351031372
1003,-75.56849352,6.351018187
1003,-75.56865582,6.351189824
1003,-75.56872878,6.3512689
1003,-75.56879552,6.351305154
1003,-75.56890329,6.351289743
1003,-75.56904009,6.351247064
1003,-75.56920131,6.351321914
1003,-75.56934548,6.351426321
1003,-75.56949805,6.351577987
1003,-75.56970594,6.352051051
1003,-75.56974471,6.352345336
1003,-75.56975765,6.352590593
1003,-75.56982621,6.352890412
1003,-75.5698392,6.353106656
1003,-75.56984513,6.353283021
1003,-75.56986251,6.353432216
1003,-75.56984473,6.353726593
1003,-75.56989789,6.353866836
1003,-75.56996335,6.353941403
1003,-75.57015808,6.35414172
1003,-75.57016447,6.354220128
1003,-75.57013915,6.354314736
1003,-75.57007691,6.354467886
1003,-75.56995238,6.354720252
1003,-75.56995109,6.354955955
1003,-75.56991322,6.355068915
1003,-75.5698359,6.355205703
1003,-75.56980989,6.35545803
1003,-75.56970465,6.355730203
1003,-75.56967153,6.355857256
1003,-75.56962491,6.356047319
1003,-75.56960708,6.356184115
1003,-75.56964445,6.356317538
1003,-75.56969575,6.356364662
1003,-75.56976823,6.356366968
1003,-75.56984676,6.356322368
1003,-75.56989744,6.356248634
1003,-75.56997917,6.356123949
1003,-75.57020688,6.355832052
1003,-75.57030531,6.355594129
1003,-75.57039981,6.35551783
1003,-75.57050965,6.355497733
1003,-75.57061817,6.355537248
1003,-75.57066619,6.355565067
1003,-75.57072985,6.355619112
